"","model_name","fam_name","training_time_std","performance_score","accuracy","precision","recall"
"3","SVM_kick_009","SVM",0.9968,0.6424667027,0.5198,0.5335,0.5198
"4","SVM_kick_010","SVM",0.9969,0.6364462268,0.5135,0.522,0.5135
"1","DTR_kick_020","DTR",0.9996,0.6248915907,0.5,0.5,0.5
"5","SVM_kick_007","SVM",0.9968,0.6236099315,0.4992,0.4992,0.4992
"2","SVM_kick_008","SVM",0.9969,0.6210933656,0.496,0.4954,0.496
